algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,20.86,-6.597824096679688,43.59,2.197547912597656,49.120000000000005,2.197615385055542,30.64,35.43,49.28
ure-ga-u,39.589999999999996,0.3527544438838959,39.589999999999996,2.2532548904418945,39.589999999999996,2.2532548904418945,38.61,38.61,39.589999999999996
scl-nl,21.93,-5.2364349365234375,39.910000000000004,2.197089195251465,48.63,2.197964906692505,31.119999999999997,39.48,48.5
scl-exp,21.04,-5.58483362197876,21.04,2.198413133621216,48.17,2.202672958374023,30.869999999999997,30.869999999999997,47.64
l-w,10.14,-61.422630310058594,10.14,2.1972527503967285,25.840000000000003,2.2028088569641118,11.06,12.590000000000002,45.62
l-uw,9.86,-64.16755676269531,9.86,2.1972241401672363,31.66,2.2036619186401367,11.01,11.61,47.14
