algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,6.859999999999999,4.132326602935791,6.619999999999999,2.9752492904663086,6.710000000000001,2.9783339500427246,5.48,5.48,7.9799999999999995
fwd-r,9.379999999999999,-44.537208557128906,9.08,2.748880386352539,11.78,2.9599685668945312,9.16,9.08,17.23
ure-ga-u,7.3999999999999995,2.425774097442627,7.03,2.9696967601776123,7.51,2.970027208328247,7.64,7.03,7.64
ure-ga-r,4.77,2.3897125720977783,4.38,2.9715375900268555,5.12,2.971778154373169,4.77,5.33,6.619999999999999
scl-nl,6.35,4.69658899307251,6.35,2.976669311523437,7.24,2.977178812026977,4.29,5.510000000000001,7.35
scl-exp,7.46,4.551486968994141,7.46,2.977408647537231,7.46,2.977408647537231,5.34,5.34,7.32
l-w,6.77,3.825992107391357,5.99,2.966261863708496,6.77,2.9761762619018555,5.67,5.88,7.28
l-uw,7.03,2.712249994277954,6.4399999999999995,2.96606969833374,6.279999999999999,2.967332124710083,6.859999999999999,6.550000000000001,7.89
