algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,10.549999999999999,-5.61972188949585,10.08,2.9458870887756348,10.549999999999999,2.947377920150757,11.0,10.57,11.99
fwd-r,12.590000000000002,-1.6814135313034058,12.590000000000002,2.740166664123535,20.560000000000002,2.890732765197754,19.82,12.590000000000002,24.67
ure-ga-u,11.53,1.157802700996399,10.03,2.95511245727539,11.53,2.9560272693634038,9.69,10.03,12.93
ure-ga-r,16.669999999999998,1.5863395929336548,15.21,2.9525301456451416,18.19,2.9538745880126958,16.669999999999998,16.06,19.139999999999997
scl-nl,10.530000000000001,-5.627341747283936,10.530000000000001,2.947568655014038,10.530000000000001,2.947568655014038,10.93,11.700000000000001,10.9
scl-exp,10.5,-5.689654350280762,10.5,2.949767589569092,10.5,2.949767589569092,10.58,10.05,10.75
l-w,6.03,-36.00796890258789,6.03,2.932913064956665,9.180000000000001,2.938360929489136,7.13,6.419999999999999,11.020000000000001
l-uw,7.489999999999999,-32.22548294067383,7.489999999999999,2.9359731674194336,9.71,2.940392255783081,5.83,7.75,11.51
