algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,6.510000000000001,-10.21212100982666,6.84,2.97745943069458,6.49,2.9783170223236084,6.710000000000001,6.890000000000001,7.9
fwd-r,10.4,-46.69161224365234,10.4,2.7958829402923584,12.73,2.919551134109497,10.4,10.4,17.54
ure-ga-u,6.13,0.7537749409675598,6.909999999999999,2.970438003540039,6.7299999999999995,2.9706122875213623,6.859999999999999,6.68,10.34
ure-ga-r,11.29,2.0550904273986816,11.29,2.9710562229156494,11.29,2.9710562229156494,11.29,11.57,11.51
scl-nl,6.800000000000001,-11.284738540649414,6.239999999999999,2.976564645767212,6.239999999999999,2.976564645767212,6.4799999999999995,6.9,8.04
scl-exp,6.58,-11.309707641601562,6.569999999999999,2.9778668880462646,6.58,2.978870391845703,7.199999999999999,6.859999999999999,8.459999999999999
l-w,6.2700000000000005,-30.731359481811523,6.2700000000000005,2.969345092773437,6.2700000000000005,2.969345092773437,5.06,5.680000000000001,8.16
l-uw,5.62,-34.29021072387695,5.62,2.9704930782318115,6.7299999999999995,2.974461317062378,6.22,5.94,8.18
