algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,32.11,-25.385801315307617,34.27,2.215553522109986,35.43,2.221197366714477,33.77,34.27,36.97
fwd-r,28.139999999999997,-1.5403834581375122,18.73,2.0539820194244385,28.139999999999997,2.175814628601074,28.83,18.73,40.61
ure-ga-u,32.48,-0.2439278960227966,34.949999999999996,2.257329225540161,34.949999999999996,2.257329225540161,32.48,35.010000000000005,36.71
ure-ga-r,27.33,1.1601344347000122,27.33,2.2615315914154053,27.889999999999997,2.262545585632324,24.98,27.49,29.21
scl-nl,31.900000000000002,-24.436368942260746,35.07,2.2173311710357666,34.150000000000006,2.221900701522827,32.879999999999995,35.28,40.25
scl-exp,33.660000000000004,-26.508848190307617,33.660000000000004,2.2245476245880127,33.879999999999995,2.2258963584899902,32.47,33.129999999999995,37.12
l-w,19.759999999999998,-82.03197479248047,19.759999999999998,2.204293727874756,28.32,2.22199821472168,21.38,22.61,32.74
l-uw,23.01,-66.72447204589844,23.01,2.2096023559570312,32.769999999999996,2.211411237716675,22.220000000000002,22.220000000000002,36.89
