algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,7.109999999999999,-88.69706726074219,nan,2.971330165863037,7.049999999999999,2.9737462997436523,6.81,6.83,7.380000000000001
fwd-r,11.32,-39.43224334716797,9.520000000000001,2.75134015083313,14.96,2.860862970352173,10.52,9.520000000000001,20.23
ure-ga-u,7.17,-13.003143310546877,7.969999999999999,2.961124420166016,7.17,2.9621527194976807,7.68,7.51,10.71
ure-ga-r,5.0200000000000005,2.853065490722656,5.1499999999999995,2.964606285095215,5.1499999999999995,2.964606285095215,4.83,5.18,5.47
scl-nl,6.79,-101.94329833984376,7.180000000000001,2.972214937210083,6.819999999999999,2.9752914905548096,6.68,6.77,8.3
scl-exp,7.04,-95.21771240234376,7.02,2.973162651062012,7.02,2.973162651062012,6.2700000000000005,6.94,7.4399999999999995
l-w,5.46,-224.2219696044922,5.46,2.962430953979492,6.04,2.966128349304199,5.64,6.92,8.27
l-uw,6.0,-222.40618896484372,6.0,2.964345216751098,7.06,2.9734532833099365,6.660000000000001,6.15,8.36
