algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,54.83,-3.2689526081085205,61.06,2.165946245193481,64.64999999999999,2.1677188873291016,53.7,61.370000000000005,65.86
fwd-r,36.38,-3.324082136154175,36.44,2.043118953704834,57.58,2.122971773147583,37.269999999999996,36.44,62.51
ure-ga-u,50.77,1.1995381116867063,50.05,2.236469268798828,50.05,2.236469268798828,50.77,50.05,52.18000000000001
ure-ga-r,56.10000000000001,0.6277494430541992,56.10000000000001,2.2089312076568604,56.10000000000001,2.2089312076568604,56.10000000000001,56.10000000000001,56.35
scl-nl,48.52,-3.187608242034912,59.25,2.167642593383789,64.97,2.1682369709014893,55.779999999999994,61.75000000000001,65.10000000000001
scl-exp,47.99,-2.977184772491455,54.84,2.1690990924835205,61.150000000000006,2.178824186325073,52.559999999999995,60.56,61.35
l-w,24.64,-23.240806579589844,24.64,2.1518313884735107,49.08,2.1653451919555664,24.64,24.64,55.489999999999995
l-uw,28.249999999999996,-19.18328285217285,28.249999999999996,2.1588845252990723,56.230000000000004,2.1649038791656494,30.53,28.249999999999996,58.39
