algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,32.98,-21.586959838867188,34.93,2.203651428222656,34.93,2.203651428222656,33.44,34.4,39.12
fwd-r,20.36,-4.876833438873291,20.36,2.034501314163208,30.759999999999998,2.163939952850342,26.88,20.36,40.35
ure-ga-u,32.43,0.0961467698216438,27.26,2.2507927417755127,36.07,2.2516276836395264,32.43,33.95,37.65
ure-ga-r,27.76,1.0502554178237915,31.240000000000002,2.2534782886505127,33.48,2.257001638412476,27.58,31.240000000000002,34.5
scl-nl,34.43,-22.46800804138184,34.089999999999996,2.203039169311523,34.18,2.2129464149475098,34.53,34.089999999999996,39.07
scl-exp,34.489999999999995,-21.16780662536621,33.23,2.2137131690979004,34.94,2.21575665473938,34.660000000000004,33.67,37.9
l-w,20.72,-70.91136932373047,20.72,2.189274311065674,30.009999999999998,2.1983680725097656,20.72,20.72,35.57
l-uw,20.5,-60.99017333984375,20.5,2.198611259460449,32.85,2.2012853622436523,24.15,23.97,38.64
