algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,29.549999999999997,-27.227622985839844,31.0,2.2096285820007324,32.43,2.2182466983795166,30.509999999999998,32.18,36.0
fwd-r,29.39,-3.4703681468963623,20.07,2.026096820831299,29.39,2.164057493209839,29.07,20.07,35.91
ure-ga-u,31.41,-0.3956102430820465,31.06,2.251757860183716,31.06,2.251757860183716,31.41,33.79,34.57
ure-ga-r,26.47,1.1602051258087158,24.19,2.256404399871826,29.07,2.2570667266845703,26.529999999999998,24.95,30.45
scl-nl,29.89,-25.716970443725582,30.4,2.2081940174102783,31.230000000000004,2.2161221504211426,31.990000000000002,30.4,36.02
scl-exp,29.659999999999997,-29.126934051513672,32.09,2.219350099563598,32.09,2.219350099563598,29.659999999999997,31.64,34.050000000000004
l-w,18.4,-82.4412612915039,18.4,2.194169044494629,25.27,2.2143266201019287,19.57,18.4,31.730000000000004
l-uw,21.4,-74.16055297851562,21.4,2.201593399047852,27.33,2.216867446899414,21.529999999999998,21.4,34.37
