algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,17.54,-4.763921737670898,17.54,2.95013689994812,20.32,2.960426092147827,19.25,19.25,19.869999999999997
ure-ga-u,14.860000000000001,1.4354724884033203,13.719999999999999,2.990293502807617,15.479999999999999,2.990680694580078,14.75,12.7,15.479999999999999
scl-nl,18.92,-5.645802974700928,18.92,2.949014663696289,18.92,2.949014663696289,18.509999999999998,18.509999999999998,19.56
scl-exp,18.64,-4.471345901489258,18.64,2.9494788646698,18.78,2.953094244003296,18.95,18.85,20.630000000000003
l-w,8.49,-31.23042297363281,13.08,2.946559190750122,12.690000000000001,2.948941707611084,8.08,9.13,17.549999999999997
l-uw,10.23,-24.49070930480957,10.23,2.946950435638428,14.66,2.9489011764526367,8.77,8.77,17.14
