algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,7.32,3.1566030979156494,7.32,2.9710700511932373,7.199999999999999,2.9735031127929688,7.32,7.32,9.21
fwd-r,9.15,-53.23090744018555,9.15,2.7404725551605225,12.11,2.874381303787231,8.94,9.15,16.32
ure-ga-u,7.2700000000000005,2.373577117919922,7.2700000000000005,2.9686453342437744,7.23,2.969646453857422,6.63,7.86,8.52
ure-ga-r,9.67,2.015353918075561,9.67,2.9697415828704834,10.18,2.969886779785156,9.73,9.73,11.44
scl-nl,7.48,3.1493163108825684,7.41,2.972987413406372,7.670000000000001,2.9730231761932373,7.53,6.7299999999999995,9.31
scl-exp,7.37,4.153014183044434,7.6,2.97389817237854,7.6899999999999995,2.973918199539185,7.3999999999999995,7.7700000000000005,9.32
l-w,4.91,-2.717182874679565,5.55,2.964411973953247,5.82,2.9667325019836426,6.05,6.17,9.17
l-uw,5.4399999999999995,-3.41963267326355,5.27,2.96502947807312,6.4799999999999995,2.967654228210449,5.82,6.87,9.229999999999999
pc-sigmoid,6.79,-105.89547729492188,7.3,2.937894105911255,7.3,2.937894105911255,6.54,7.5200000000000005,11.89
