algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,7.12,-104.71149444580078,7.7700000000000005,2.972532272338867,7.6,2.97381329536438,7.3,7.59,8.75
fwd-r,9.879999999999999,-54.54511642456055,9.879999999999999,2.752157926559448,17.169999999999998,2.930654525756836,9.69,9.879999999999999,20.11
ure-ga-u,7.180000000000001,-14.784767150878906,7.91,2.960247039794922,7.82,2.961077928543091,7.71,7.91,9.28
ure-ga-r,5.09,2.558915853500366,5.4399999999999995,2.964102983474731,5.09,2.964153289794922,4.859999999999999,5.4399999999999995,5.17
scl-nl,6.54,-125.7930908203125,5.83,2.9721548557281494,7.88,2.9738593101501465,6.68,7.76,8.85
scl-exp,5.89,-108.9124755859375,7.1,2.971848249435425,8.03,2.973873853683472,7.049999999999999,7.68,8.86
l-w,5.67,-256.768798828125,6.43,2.9641013145446777,8.23,2.972956657409668,5.93,5.86,9.049999999999999
l-uw,6.05,-220.49383544921875,6.05,2.964591264724731,7.3,2.968165636062622,5.24,6.859999999999999,8.93
pc-sigmoid,7.249999999999999,-2610.11181640625,9.06,2.9117565155029297,9.01,2.926569700241089,7.249999999999999,9.790000000000001,15.0
