algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,31.81,-19.764917373657227,35.370000000000005,2.200484275817871,35.370000000000005,2.200484275817871,33.23,35.370000000000005,37.62
fwd-r,28.15,-1.909908890724182,19.400000000000002,2.0208988189697266,28.15,2.153766632080078,28.189999999999998,19.400000000000002,39.160000000000004
ure-ga-u,26.919999999999998,0.4669683277606964,31.169999999999998,2.2496726512908936,31.169999999999998,2.2496726512908936,27.73,31.19,33.25
ure-ga-r,27.800000000000004,1.07476544380188,26.419999999999998,2.253747701644897,30.630000000000003,2.256354808807373,27.93,26.44,31.630000000000003
scl-nl,30.53,-19.49993896484375,32.48,2.204617500305176,35.56,2.2130119800567627,31.34,30.409999999999997,35.56
scl-exp,32.12,-18.590473175048828,27.400000000000002,2.21382474899292,33.94,2.215249300003052,33.31,32.76,34.44
l-w,20.8,-65.70084381103516,20.8,2.189171552658081,25.869999999999997,2.2114603519439697,20.8,19.85,34.1
l-uw,22.66,-58.78839111328125,22.66,2.194826126098633,27.439999999999998,2.213679790496826,22.66,22.66,35.980000000000004
pc-sigmoid,13.81,-555.91259765625,21.759999999999998,2.186419725418091,21.84,2.218975067138672,13.81,21.759999999999998,34.12
