algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,10.530000000000001,-6.026553630828857,10.530000000000001,2.944749593734741,10.530000000000001,2.944749593734741,10.0,11.05,11.06
fwd-r,18.27,-0.6082053184509277,13.239999999999998,2.736524820327759,20.200000000000003,2.894345760345459,17.06,13.239999999999998,25.4
ure-ga-u,9.93,1.1915338039398191,11.129999999999999,2.9558310508728027,13.22,2.955963134765625,10.41,11.16,12.709999999999999
ure-ga-r,16.23,1.563585638999939,14.93,2.952728509902954,17.560000000000002,2.954871654510498,16.23,15.690000000000001,18.17
scl-nl,10.86,-6.222442626953125,10.86,2.9452571868896484,10.86,2.9452571868896484,9.84,9.139999999999999,10.56
scl-exp,10.879999999999999,-6.475704669952393,10.879999999999999,2.9460527896881104,10.93,2.9481635093688965,10.75,10.870000000000001,11.450000000000001
l-w,6.859999999999999,-36.72013473510742,7.46,2.9347798824310303,8.21,2.9387688636779785,6.859999999999999,7.17,11.23
l-uw,7.359999999999999,-33.88671112060547,7.39,2.9384214878082275,8.84,2.9394516944885254,7.359999999999999,8.25,11.219999999999999
pc-sigmoid,9.27,-637.77783203125,9.5,2.882469415664673,11.379999999999999,2.8999664783477783,9.030000000000001,9.99,19.07
