algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,32.06,-23.454553604125977,31.119999999999997,2.2150895595550537,33.44,2.2237548828125,32.79,31.119999999999997,35.589999999999996
fwd-r,29.160000000000004,-1.9701216220855715,20.0,2.050673723220825,29.160000000000004,2.1722683906555176,26.889999999999997,20.0,37.51
ure-ga-u,31.230000000000004,-0.4289456307888031,35.099999999999994,2.2578859329223637,35.099999999999994,2.2578859329223637,31.230000000000004,33.64,36.83
ure-ga-r,25.75,1.1321401596069336,30.3,2.261003971099853,30.3,2.261003971099853,26.63,31.929999999999996,32.51
scl-nl,32.37,-22.410234451293945,32.68,2.216811418533325,34.050000000000004,2.2240724563598637,32.97,33.69,36.42
scl-exp,31.91,-24.487722396850582,28.860000000000003,2.2246127128601074,34.58,2.2267074584960938,33.050000000000004,28.57,36.76
l-w,21.22,-82.11527252197266,21.22,2.202092409133911,27.6,2.222935199737549,19.62,21.22,34.150000000000006
l-uw,22.830000000000002,-69.22455596923828,22.830000000000002,2.2047042846679688,29.82,2.2249977588653564,22.830000000000002,22.830000000000002,34.54
pc-sigmoid,14.45,-701.1845703125,15.22,2.190699338912964,25.919999999999998,2.200579881668091,14.45,15.64,36.58
