algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,54.17999999999999,-3.3620946407318115,56.66,2.165216445922852,64.75,2.1656339168548584,54.02,64.77000000000001,65.19
fwd-r,34.33,-3.7985801696777344,36.09,2.0427920818328857,55.69,2.1158125400543213,37.34,36.09,60.96
ure-ga-u,47.72,1.1803961992263794,47.72,2.2384467124938965,48.66,2.2387118339538574,47.72,47.949999999999996,47.63
ure-ga-r,51.72,0.6244257688522339,51.72,2.208552598953247,51.72,2.208552598953247,51.72,51.72,54.400000000000006
scl-nl,53.83,-3.724776029586792,59.18,2.164367437362671,63.14999999999999,2.1661267280578613,53.910000000000004,59.18,64.32
scl-exp,48.199999999999996,-3.0775675773620605,57.24,2.1683833599090576,60.67,2.174482583999634,51.82,57.410000000000004,62.56
l-w,26.71,-23.12663459777832,26.71,2.1502511501312256,48.93,2.160099744796753,24.44,26.3,54.84
l-uw,29.95,-19.077980041503903,29.95,2.1558501720428467,54.72,2.1632487773895264,29.95,29.2,58.42
pc-sigmoid,25.259999999999998,-249.6629638671875,25.259999999999998,2.143489122390747,31.72,2.1854419708251958,25.259999999999998,25.259999999999998,44.26
