algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,32.31,-19.50474166870117,33.46,2.205113172531128,34.870000000000005,2.211514472961426,32.08,33.46,38.48
fwd-r,22.02,-3.303544282913208,22.02,2.0302700996398926,29.020000000000003,2.1549885272979736,27.96,22.02,38.769999999999996
ure-ga-u,30.64,0.4920475780963897,24.86,2.250288724899292,32.11,2.2505733966827397,29.12,32.43,30.740000000000002
ure-ga-r,27.500000000000004,1.0167205333709717,29.630000000000003,2.2526237964630127,29.630000000000003,2.2526237964630127,27.500000000000004,31.05,32.41
scl-nl,31.759999999999998,-19.7080020904541,31.28,2.2038090229034424,34.48,2.211712598800659,32.15,31.28,34.88
scl-exp,35.49,-19.43853187561035,36.370000000000005,2.2137842178344727,36.370000000000005,2.2137842178344727,34.300000000000004,34.35,37.41
l-w,19.96,-63.06877136230469,19.96,2.1866040229797363,28.96,2.233530282974243,19.96,19.96,34.57
l-uw,23.54,-55.5369873046875,23.54,2.1966686248779297,28.860000000000003,2.211714506149292,23.54,23.23,35.15
pc-sigmoid,13.819999999999999,-605.3853149414062,15.299999999999999,2.189932107925415,21.94,2.208791494369507,15.24,15.299999999999999,36.95
