algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,33.45,-25.3775367736816,33.660000000000004,2.21491742134094,33.410000000000004,2.22143268585205,33.29,33.32,37.92
fwd-r,29.34,-4.16633987426758,18.67,2.05288028717041,29.34,2.1768639087677,27.0,18.67,38.58
ure-ga-u,30.320000000000004,-0.216270387172699,33.71,2.25839042663574,33.71,2.25839042663574,30.830000000000002,33.129999999999995,35.620000000000005
ure-ga-r,26.76,1.17220842838287,26.919999999999998,2.26406979560852,27.900000000000002,2.26507043838501,26.810000000000002,29.38,31.1
scl-nl,33.2,-25.6882476806641,32.2,2.21340537071228,33.2,2.22325015068054,32.84,32.2,36.75
scl-exp,33.87,-27.666446685791,31.25,2.22335386276245,35.31,2.22515869140625,33.87,32.61,36.99
l-w,21.15,-80.3496780395508,21.15,2.20147562026978,28.189999999999998,2.21693587303162,21.15,19.34,36.77
l-uw,23.080000000000002,-68.0613250732422,23.080000000000002,2.20485877990723,29.299999999999997,2.21301460266113,22.88,23.080000000000002,33.95
pc-sigmoid,15.5,-674.196716308594,15.64,2.19227528572083,22.830000000000002,2.19349002838135,15.5,17.0,35.19
