algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,52.900000000000006,-3.5810067653656,59.01,2.16657423973084,63.51,2.16881346702576,52.739999999999995,60.89,64.51
fwd-r,37.169999999999995,-3.81600284576416,35.57,2.04241108894348,56.88999999999999,2.11628675460815,37.169999999999995,35.57,62.22
ure-ga-u,45.75,1.23529386520386,49.3,2.2364284992218,49.3,2.2364284992218,46.44,49.3,49.3
ure-ga-r,43.89,0.727681398391724,53.059999999999995,2.21475481987,53.059999999999995,2.21475481987,45.32,52.370000000000005,53.04
scl-nl,54.190000000000005,-3.55145382881165,58.25,2.16656351089478,60.419999999999995,2.16949510574341,54.790000000000006,57.82000000000001,62.28
scl-exp,47.089999999999996,-3.14653301239014,58.36,2.16906213760376,61.77,2.17969298362732,53.31,56.39999999999999,61.29
l-w,25.05,-24.3600311279297,25.05,2.14830255508423,46.800000000000004,2.197998046875,25.64,25.05,53.66
l-uw,29.12,-19.8341197967529,29.12,2.15836477279663,56.76,2.16281580924988,29.12,36.059999999999995,57.720000000000006
pc-sigmoid,25.740000000000002,-250.128677368164,25.740000000000002,2.14336919784546,32.940000000000005,2.18766450881958,25.740000000000002,24.89,45.01
