algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,30.7,-20.31032371521,30.8,2.20866084098816,31.180000000000003,2.21413707733154,30.28,31.740000000000002,35.77
fwd-r,18.790000000000003,-9.22146034240723,18.790000000000003,2.02372574806213,28.02,2.16146898269653,21.43,18.790000000000003,36.059999999999995
ure-ga-u,28.38,0.406249523162842,31.95,2.2513267993927,32.45,2.25336384773254,29.75,31.95,32.45
ure-ga-r,25.1,0.994393229484558,28.42,2.25379586219788,28.599999999999998,2.25398826599121,25.1,30.4,30.42
scl-nl,31.330000000000002,-19.4673843383789,29.599999999999998,2.20558023452759,32.6,2.21467065811157,32.35,29.599999999999998,35.14
scl-exp,31.430000000000003,-21.5497646331787,31.879999999999995,2.21814775466919,31.840000000000003,2.21862936019897,32.99,32.59,32.99
l-w,21.740000000000002,-68.2301940917969,21.740000000000002,2.18731570243835,25.480000000000004,2.20568490028381,21.740000000000002,21.740000000000002,32.34
l-uw,20.919999999999998,-60.2357711791992,20.919999999999998,2.19963073730469,26.529999999999998,2.21569728851318,20.919999999999998,20.919999999999998,33.42
pc-sigmoid,14.74,-618.5068359375,14.64,2.18851137161255,22.85,2.19251704216003,15.64,16.09,34.489999999999995
