algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,7.76,-151.08381652832,6.890000000000001,2.97218608856201,7.76,2.97642421722412,7.76,4.9799999999999995,8.690000000000001
fwd-r,11.020000000000001,-43.5104637145996,10.01,2.74401235580444,16.29,2.92085456848145,11.42,10.01,20.59
ure-ga-u,7.48,-13.3688688278198,7.66,2.96108388900757,7.7700000000000005,2.96154379844666,7.670000000000001,7.64,10.18
ure-ga-r,5.489999999999999,2.61335015296936,5.489999999999999,2.96449542045593,5.47,2.96451163291931,4.9,5.140000000000001,5.7299999999999995
scl-nl,8.04,-140.589782714844,6.4799999999999995,2.9720983505249,8.04,2.976806640625,8.469999999999999,5.04,8.44
scl-exp,7.61,-158.748672485352,5.47,2.97199058532715,7.61,2.97773337364197,7.84,5.04,8.03
l-w,6.1899999999999995,-283.137542724609,6.1899999999999995,2.96451568603516,6.959999999999999,2.97059059143066,5.38,6.239999999999999,8.91
l-uw,5.66,-274.138977050781,5.66,2.96534633636475,7.71,2.96785926818848,5.43,6.45,8.85
pc-sigmoid,6.84,-2361.18603515625,8.200000000000001,2.91430926322937,9.53,2.92698287963867,7.89,8.3,13.530000000000001
