algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,23.86,-5.444156169891357,47.67,2.1974730491638184,47.75,2.201012134552002,36.93,49.5,49.38
ure-ga-u,38.89,0.3385744094848633,38.89,2.251405715942383,39.51,2.256934642791748,39.25,39.79,39.75
scl-nl,23.73,-5.430861949920654,32.97,2.1972298622131348,47.78,2.197649478912353,36.36,33.54,48.04
scl-exp,24.4,-5.759195804595947,24.4,2.198460817337036,45.410000000000004,2.208338499069214,33.64,27.169999999999998,47.410000000000004
l-w,10.620000000000001,-56.55314636230469,11.92,2.1973891258239746,28.199999999999996,2.203031539916992,10.39,11.84,43.93
l-uw,9.99,-64.61628723144531,9.99,2.1972129344940186,30.930000000000003,2.2025630474090576,10.79,9.99,45.62
pc-sigmoid,16.07,-219.03564453125,15.620000000000001,2.1964447498321533,18.970000000000002,2.1979081630706787,16.900000000000002,20.22,33.26
