algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,7.64,-8.01379871368408,7.01,2.9732551574707,7.68,2.97504162788391,5.59,7.01,8.260000000000002
fwd-r,12.740000000000002,-59.971794128418,10.57,2.7941472530365,13.8,2.95592045783997,13.63,9.08,18.55
ure-ga-u,6.569999999999999,-8.10346221923828,7.5200000000000005,2.96859407424927,7.969999999999999,2.96869540214539,7.07,8.02,9.520000000000001
ure-ga-r,5.0,2.98922276496887,5.0,2.97069311141968,6.41,2.9709951877594,4.859999999999999,4.590000000000001,6.41
scl-nl,6.619999999999999,-12.1611385345459,6.619999999999999,2.97257804870605,7.720000000000001,2.97542929649353,6.78,7.180000000000001,8.33
scl-exp,7.22,8.56326484680176,7.249999999999999,2.97308468818665,8.06,2.97686815261841,4.91,7.249999999999999,7.9799999999999995
l-w,6.4,-8.4411678314209,6.45,2.96894574165344,6.18,2.97039699554443,5.04,6.52,8.129999999999999
l-uw,7.32,-2.93956565856934,6.21,2.96939849853516,7.32,2.97434759140015,4.75,6.1899999999999995,8.51
pc-sigmoid,7.829999999999999,1246.90856933594,7.380000000000001,2.94242596626282,7.829999999999999,2.9455771446228,8.02,7.68,12.27
