algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,33.4,-19.2401847839355,35.8,2.20555925369263,36.08,2.21263742446899,34.870000000000005,36.85,41.48
fwd-r,30.2,-3.58602595329285,19.900000000000002,2.0391263961792,30.2,2.16132879257202,25.69,19.900000000000002,42.32
ure-ga-u,34.260000000000005,0.372892171144486,27.339999999999996,2.25224423408508,36.28,2.25388717651367,33.62,27.11,37.12
ure-ga-r,26.82,0.964076220989227,32.41,2.25153207778931,32.41,2.25153207778931,26.82,31.39,34.12
scl-nl,34.07,-18.3906650543213,36.1,2.20492315292358,36.1,2.20492315292358,33.95,34.75,37.65
scl-exp,34.510000000000005,-19.1898288726807,35.38,2.21365165710449,36.15,2.21681714057922,34.160000000000004,35.58,38.33
l-w,21.18,-63.9053802490234,21.18,2.19140148162842,32.85,2.23099803924561,19.38,20.61,36.94
l-uw,24.09,-55.8833732604981,24.09,2.1972382068634,33.019999999999996,2.20153093338013,24.09,24.09,37.81
pc-sigmoid,14.34,-582.049743652344,16.37,2.19928860664368,24.54,2.21662187576294,14.34,15.939999999999998,37.25
