algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,14.49,-4.313207149505615,14.49,2.946987628936768,14.49,2.946987628936768,11.92,14.24,16.07
ure-ga-u,11.379999999999999,0.7521268725395203,11.57,2.9805915355682373,11.57,2.9805915355682373,11.379999999999999,10.37,12.690000000000001
scl-nl,9.39,-5.4284868240356445,14.180000000000001,2.947504758834839,14.180000000000001,2.947504758834839,13.0,12.09,15.53
scl-exp,9.82,-6.482643127441406,9.68,2.949355125427246,13.58,2.950002908706665,10.11,11.75,15.15
l-w,6.25,-70.09510040283203,6.25,2.943944215774536,8.09,2.945273399353028,4.93,7.4399999999999995,15.049999999999999
l-uw,5.13,-108.87619018554688,5.13,2.943720579147339,10.0,2.950489044189453,5.2,6.460000000000001,15.49
pc-sigmoid,7.380000000000001,-416.1712341308594,7.380000000000001,2.9343481063842773,7.670000000000001,2.9386541843414307,6.890000000000001,6.329999999999999,10.41
