algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,6.569999999999999,-46.6493377685547,6.21,2.975172996521,6.569999999999999,2.9794385433197,6.36,6.01,7.8100000000000005
fwd-r,9.120000000000001,-140.644912719727,9.120000000000001,2.72244024276733,13.94,2.86190223693848,9.120000000000001,9.120000000000001,18.8
ure-ga-u,6.329999999999999,-0.781494438648224,6.329999999999999,2.96855974197388,6.909999999999999,2.96875882148743,5.74,7.2700000000000005,9.35
ure-ga-r,6.11,2.65707278251648,6.11,2.97030377388001,5.7700000000000005,2.97031021118164,6.0,6.0600000000000005,6.16
scl-nl,6.329999999999999,-49.8865776062012,5.76,2.97421169281006,6.98,2.97530579566956,6.329999999999999,5.91,7.95
scl-exp,6.35,-54.5469284057617,6.8500000000000005,2.97504305839539,6.35,2.98054575920105,6.35,5.81,7.88
l-w,5.56,-121.614540100098,5.56,2.96749639511108,7.1499999999999995,2.97495269775391,5.56,4.92,7.870000000000001
l-uw,5.48,-82.1115875244141,5.62,2.96727132797241,6.84,2.97451853752136,6.260000000000001,6.08,7.89
pc-sigmoid,6.21,-849.015808105469,6.92,2.94637441635132,6.77,2.94913148880005,5.79,6.98,8.92
