algo,selected by URE,URE,selected by SCEL,SCEL,selected by val_acc,valid_acc,best_ure,best_scel,best_val_acc
fwd-u,11.86,-6.72237825393677,11.86,2.94207882881165,11.86,2.94207882881165,11.86,12.64,13.020000000000001
fwd-r,20.65,-2.11480379104614,12.49,2.7369270324707,19.71,2.83834075927734,18.27,12.49,25.380000000000003
ure-ga-u,11.110000000000001,1.26867055892944,11.29,2.95419144630432,11.29,2.95419144630432,10.290000000000001,11.600000000000001,13.3
ure-ga-r,16.91,1.60378408432007,16.04,2.95190238952637,18.13,2.95413661003113,16.45,16.04,18.39
scl-nl,11.469999999999999,-6.37250328063965,11.469999999999999,2.94277024269104,12.959999999999999,2.94329762458801,12.629999999999999,12.26,13.41
scl-exp,11.85,-6.62876272201538,11.85,2.94636225700378,11.85,2.94636225700378,10.92,11.690000000000001,11.99
l-w,7.5600000000000005,-37.6437835693359,7.5600000000000005,2.92893886566162,8.37,2.93412733078003,7.5600000000000005,7.16,11.41
l-uw,7.199999999999999,-32.3456497192383,7.199999999999999,2.93075799942017,9.32,2.93608045578003,7.199999999999999,7.41,11.940000000000001
pc-sigmoid,9.2,-626.813049316406,9.569999999999999,2.88308930397034,12.32,2.89770722389221,9.41,10.02,17.75
